Song,Artist,sentiment_category
Shots & Squats,Vigiland,negative
Shout Out to My Ex,Little Mix,positive
The Show Goes On,Lupe Fiasco,positive
Shut Up and Dance,WALK THE MOON,positive
Side To Side,Ariana Grande,positive
Simple,Florida Georgia Line,positive
"Sit Still, Look Pretty",Daya,positive
Sixteen,Thomas Rhett,negative
Sixteen,Ellie Goulding,positive
Slow Motion,Trey Songz,positive
Small Town Boy,Dustin Lynch,positive
Smile Back,Mac Miller,positive
Smooth,Florida Georgia Line,positive
So Hott,Kid Rock,positive
Solo Dance,Martin Jensen,positive
Somebody,Natalie La Rose,positive
Someday,Sugar Ray,positive
Someday,The Strokes,positive
Someone I Used To Know,Zac Brown Band,positive
Someone You Loved,Lewis Capaldi,positive
Somethin' 'Bout A Truck,Kip Moore,positive
Something I Need,OneRepublic,positive
Something In The Way You Move,Ellie Goulding,positive
Something Just Like This,The Chainsmokers,positive
Somethin' I'm Good At,Brett Eldredge,positive
Song for Another Time,Old Dominion,positive
Song of the South,Alabama,positive
Son of A,Lakeview,positive
Son Of A Sinner,Jelly Roll,positive
Sorry,Justin Bieber,positive
Sorry Not Sorry,Demi Lovato,positive
Soul,Lee Brice,positive
The Sound,The 1975,negative
Sound of Madness,Shinedown,positive
Sound Of Your Heart,Shawn Hook,positive
Soundtrack 2 My Life,Kid Cudi,positive
Sour Patch Kids,Bryce Vine,positive
The South,The Cadillac Three,positive
Southern Nights,Glen Campbell,positive
Speak Now,Taylor Swift,positive
Spinnin,Connor Price,negative
The Spins,Mac Miller,positive
Spirits,The Strumbellas,positive
Springsteen,Eric Church,positive
Star Of The Show,Thomas Rhett,negative
Starving,Hailee Steinfeld,positive
State of My Head,Shinedown,positive
Stay A Little Longer,Brothers Osborne,negative
STAY (with Justin Bieber),The Kid LAROI,negative
Still Don't Know My Name,Labrinth,negative
Still Goin Down,Morgan Wallen,negative
